ID,Titel,Fase ID,Fase Label,Oorzaak,Impact,Gevolg,Beschrijving,Minimale Extra Reistijd (min.),Maximale Extra Reistijd (min.),Starttijd,Geschatte Eindtijd,Eindtijd,Stationscodes,Stationsnamen,Tijdstip collectie
6024957,Amsterdam-Haarlem,1b,Gevolgen bekend,Defecte trein,3,,Tussen Amsterdam Centraal en Haarlem is er vertraging en rijden er minder treinen door een defecte trein.,,,2023-08-15T17:42:18,2023-08-15T18:30:00,2023-08-15T18:30:00,,,2023-08-15T17:49:23
6024958,Dordrecht-Breda,1b,Gevolgen bekend,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe is er een verstoring in de treindienst door een defecte trein.,,,2023-08-15T18:59:39,2023-08-15T20:00:00,2023-08-15T20:00:00,,,2023-08-15T19:09:25
6024958,Dordrecht-Breda; Dordrecht-Roosendaal,2,Impact bekend,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe rijden er geen Sprinters door een defecte trein.,60,,2023-08-15T18:59:39,2023-08-15T20:00:00,2023-08-15T20:00:00,,,2023-08-15T19:23:57
6024958,Dordrecht-Breda; Dordrecht-Roosendaal,2,Impact bekend,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe rijden er geen Sprinters door een defecte trein.,60,,2023-08-15T18:59:39,2023-08-15T21:00:00,2023-08-15T21:00:00,,,2023-08-15T19:34:42
6024958,Dordrecht-Breda; Dordrecht-Roosendaal,2,Impact bekend,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe rijden er geen Sprinters door een defecte trein.,60,,2023-08-15T18:59:39,2023-08-15T21:00:00,2023-08-15T21:00:00,,,2023-08-15T19:49:23
6024958,Dordrecht-Breda; Dordrecht-Roosendaal,4,Storing voorbij,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe zijn de beperkingen voorbij.,,,2023-08-15T18:59:39,2023-08-15T20:30:00,2023-08-15T20:30:00,,,2023-08-15T20:12:39
6024958,Dordrecht-Breda; Dordrecht-Roosendaal,4,Storing voorbij,Defecte trein,2,,Tussen Dordrecht en Lage Zwaluwe zijn de beperkingen voorbij.,,,2023-08-15T18:59:39,2023-08-15T20:30:00,2023-08-15T20:30:00,,,2023-08-15T20:26:33
6024959,Haarlem-Zandvoort,1b,Gevolgen bekend,Aanrijding,3,,Tussen Haarlem en Overveen is er een verstoring in de treindienst door een aanrijding.,,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T20:35:57
6024959,Amsterdam-Zandvoort aan Zee,2,Impact bekend,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T20:49:19
6024959,Amsterdam-Zandvoort aan Zee,2,Impact bekend,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T21:08:28
6024959,Amsterdam-Zandvoort aan Zee,2,Impact bekend,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T21:19:13
6024959,Amsterdam-Zandvoort aan Zee,2,Impact bekend,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T21:34:31
6024959,Amsterdam-Zandvoort aan Zee,2,Impact bekend,Aanrijding,3,,Tussen Haarlem en Zandvoort aan Zee rijden er geen treinen door een aanrijding.,60,,2023-08-15T20:27:36,2023-08-16T00:00:00,2023-08-16T00:00:00,,,2023-08-15T21:49:36
